Strategy,Simulation,Maximum Drawdown
Risk-Aware Regime Switching,1,-0.16392164289298405
Risk-Aware Regime Switching,2,-0.17612636770493673
Risk-Aware Regime Switching,3,-0.23374120707666546
Risk-Aware Regime Switching,4,-0.3217801293150371
Risk-Aware Regime Switching,5,-0.16272234532277585
Risk-Aware Regime Switching,6,-0.49157672250426165
Risk-Aware Regime Switching,7,-0.3093400005792609
Risk-Aware Regime Switching,8,-0.2314110672177112
Risk-Aware Regime Switching,9,-0.1405534810498239
Risk-Aware Regime Switching,10,-0.3561564945951794
Risk-Aware Regime Switching,11,-0.1177486482278769
Risk-Aware Regime Switching,12,-0.09688176351429101
Risk-Aware Regime Switching,13,-0.35890081358378945
Risk-Aware Regime Switching,14,-0.29985244033485736
Risk-Aware Regime Switching,15,-0.23540470728351748
Risk-Aware Regime Switching,16,-0.23852131171685864
Risk-Aware Regime Switching,17,-0.30071162365145154
Risk-Aware Regime Switching,18,-0.27167161014289154
Risk-Aware Regime Switching,19,-0.24175336314677787
Risk-Aware Regime Switching,20,-0.18158641398436248
Risk-Aware Regime Switching,21,-0.38330252040030177
Risk-Aware Regime Switching,22,-0.20185475728613878
Risk-Aware Regime Switching,23,-0.11664337426932392
Risk-Aware Regime Switching,24,-0.20768509388704415
Risk-Aware Regime Switching,25,-0.28030165752400094
Risk-Aware Regime Switching,26,-0.3029333831831308
Risk-Aware Regime Switching,27,-0.2198814029821028
Risk-Aware Regime Switching,28,-0.17196460159012472
Risk-Aware Regime Switching,29,-0.22339467519590894
Risk-Aware Regime Switching,30,-0.15480315821445356
Risk-Aware Regime Switching,31,-0.1735866014808667
Risk-Aware Regime Switching,32,-0.34788972843140786
Risk-Aware Regime Switching,33,-0.3384050765032369
Risk-Aware Regime Switching,34,-0.2863660461613067
Risk-Aware Regime Switching,35,-0.3517114717710794
Risk-Aware Regime Switching,36,-0.25548164853466027
Risk-Aware Regime Switching,37,-0.32909177803560075
Risk-Aware Regime Switching,38,-0.33796264756664596
Risk-Aware Regime Switching,39,-0.3438260962850681
Risk-Aware Regime Switching,40,-0.37028116233478503
Risk-Aware Regime Switching,41,-0.4584818214622256
Risk-Aware Regime Switching,42,-0.13921626291309908
Risk-Aware Regime Switching,43,-0.1557282187381095
Risk-Aware Regime Switching,44,-0.2581994974843419
Risk-Aware Regime Switching,45,-0.3788497338640965
Risk-Aware Regime Switching,46,-0.24605395155791243
Risk-Aware Regime Switching,47,-0.3324961069303899
Risk-Aware Regime Switching,48,-0.3717554123750135
Risk-Aware Regime Switching,49,-0.20649832626814346
Risk-Aware Regime Switching,50,-0.14414442822515983
Risk-Aware Regime Switching,51,-0.22366398024961542
Risk-Aware Regime Switching,52,-0.34432866016597063
Risk-Aware Regime Switching,53,-0.07464146992819953
Risk-Aware Regime Switching,54,-0.2017864566558325
Risk-Aware Regime Switching,55,-0.16031826043264719
Risk-Aware Regime Switching,56,-0.3172464081416151
Risk-Aware Regime Switching,57,-0.2947519275190217
Risk-Aware Regime Switching,58,-0.21166513851110103
Risk-Aware Regime Switching,59,-0.2105927377016945
Risk-Aware Regime Switching,60,-0.2817076379730169
Risk-Aware Regime Switching,61,-0.23993285481292825
Risk-Aware Regime Switching,62,-0.2744343667401006
Risk-Aware Regime Switching,63,-0.34307456081125054
Risk-Aware Regime Switching,64,-0.19884611784501338
Risk-Aware Regime Switching,65,-0.4581268062341737
Risk-Aware Regime Switching,66,-0.10967887219816508
Risk-Aware Regime Switching,67,-0.21195223524254514
Risk-Aware Regime Switching,68,-0.40927657058970446
Risk-Aware Regime Switching,69,-0.2751342034846149
Risk-Aware Regime Switching,70,-0.45010880958206123
Risk-Aware Regime Switching,71,-0.4034738623313131
Risk-Aware Regime Switching,72,-0.1363917387150384
Risk-Aware Regime Switching,73,-0.21264618343238673
Risk-Aware Regime Switching,74,-0.30525177262836267
Risk-Aware Regime Switching,75,-0.3799889936619123
Risk-Aware Regime Switching,76,-0.2076268138679871
Risk-Aware Regime Switching,77,-0.39744018132269954
Risk-Aware Regime Switching,78,-0.09671527027482851
Risk-Aware Regime Switching,79,-0.29363097745542044
Risk-Aware Regime Switching,80,-0.10608527260349365
Risk-Aware Regime Switching,81,-0.2067655060925394
Risk-Aware Regime Switching,82,-0.1533034917918682
Risk-Aware Regime Switching,83,-0.25309853706567276
Risk-Aware Regime Switching,84,-0.25926165201843676
Risk-Aware Regime Switching,85,-0.2234369219364718
Risk-Aware Regime Switching,86,-0.20553039217960511
Risk-Aware Regime Switching,87,-0.1928843801862744
Risk-Aware Regime Switching,88,-0.4231952599618706
Risk-Aware Regime Switching,89,-0.35867218974634485
Risk-Aware Regime Switching,90,-0.4463209940866756
Risk-Aware Regime Switching,91,-0.08363219284344525
Risk-Aware Regime Switching,92,-0.13593831742602835
Risk-Aware Regime Switching,93,-0.4271483033587924
Risk-Aware Regime Switching,94,-0.4661449493424573
Risk-Aware Regime Switching,95,-0.4298924362963633
Risk-Aware Regime Switching,96,-0.3884457621245899
Risk-Aware Regime Switching,97,-0.16621068358841884
Risk-Aware Regime Switching,98,-0.19682884328789163
Risk-Aware Regime Switching,99,-0.3538107694992526
Risk-Aware Regime Switching,100,-0.3295810531292186
Risk-Aware Regime Switching,101,-0.22199830794920805
Risk-Aware Regime Switching,102,-0.2870454487709909
Risk-Aware Regime Switching,103,-0.390710352117553
Risk-Aware Regime Switching,104,-0.18981952135855817
Risk-Aware Regime Switching,105,-0.19668932965722163
Risk-Aware Regime Switching,106,-0.3771449904205263
Risk-Aware Regime Switching,107,-0.3911398923606112
Risk-Aware Regime Switching,108,-0.21671540675276024
Risk-Aware Regime Switching,109,-0.43934860178229873
Risk-Aware Regime Switching,110,-0.24188579019581846
Risk-Aware Regime Switching,111,-0.4075674354662431
Risk-Aware Regime Switching,112,-0.215534718935531
Risk-Aware Regime Switching,113,-0.5293462865204882
Risk-Aware Regime Switching,114,-0.24068215682935168
Risk-Aware Regime Switching,115,-0.20156841466653108
Risk-Aware Regime Switching,116,-0.2878196323448786
Risk-Aware Regime Switching,117,-0.24398056085141728
Risk-Aware Regime Switching,118,-0.10318024739958609
Risk-Aware Regime Switching,119,-0.18492338202884073
Risk-Aware Regime Switching,120,-0.2259698731844929
Risk-Aware Regime Switching,121,-0.1857753478917551
Risk-Aware Regime Switching,122,-0.13149922125032976
Risk-Aware Regime Switching,123,-0.34003487257287657
Risk-Aware Regime Switching,124,-0.24130581578040822
Risk-Aware Regime Switching,125,-0.23160075703748906
Risk-Aware Regime Switching,126,-0.2688079685108119
Risk-Aware Regime Switching,127,-0.38270477708473116
Risk-Aware Regime Switching,128,-0.2101142089993614
Risk-Aware Regime Switching,129,-0.2776303517277503
Risk-Aware Regime Switching,130,-0.20010030091934872
Risk-Aware Regime Switching,131,-0.1352393291365852
Risk-Aware Regime Switching,132,-0.22397357119099348
Risk-Aware Regime Switching,133,-0.21701609252009624
Risk-Aware Regime Switching,134,-0.1294387855425685
Risk-Aware Regime Switching,135,-0.1614814729442442
Risk-Aware Regime Switching,136,-0.1632521934709259
Risk-Aware Regime Switching,137,-0.40555690146483736
Risk-Aware Regime Switching,138,-0.1943224779755114
Risk-Aware Regime Switching,139,-0.43987385655546707
Risk-Aware Regime Switching,140,-0.22263772195467058
Risk-Aware Regime Switching,141,-0.40213765983401706
Risk-Aware Regime Switching,142,-0.22119805913682866
Risk-Aware Regime Switching,143,-0.3153311048935612
Risk-Aware Regime Switching,144,-0.2659590975858833
Risk-Aware Regime Switching,145,-0.3225836202180836
Risk-Aware Regime Switching,146,-0.2849044533513413
Risk-Aware Regime Switching,147,-0.2503689934620741
Risk-Aware Regime Switching,148,-0.19784959290893267
Risk-Aware Regime Switching,149,-0.285347949161894
Risk-Aware Regime Switching,150,-0.21554869534989385
Risk-Aware Regime Switching,151,-0.18159759877613268
Risk-Aware Regime Switching,152,-0.28053013296296103
Risk-Aware Regime Switching,153,-0.37406601050177546
Risk-Aware Regime Switching,154,-0.24417023913392466
Risk-Aware Regime Switching,155,-0.31718060247094004
Risk-Aware Regime Switching,156,-0.20619354905409482
Risk-Aware Regime Switching,157,-0.27378507007295727
Risk-Aware Regime Switching,158,-0.28247676161405855
Risk-Aware Regime Switching,159,-0.1800950346349871
