Strategy,Simulation,Terminal Wealth
Risk-Aware Regime Switching,1,132.59871836848842
Risk-Aware Regime Switching,2,108.1453619243099
Risk-Aware Regime Switching,3,87.01463299269612
Risk-Aware Regime Switching,4,78.34614442752536
Risk-Aware Regime Switching,5,111.23301447444783
Risk-Aware Regime Switching,6,55.45810747357475
Risk-Aware Regime Switching,7,84.41066801371335
Risk-Aware Regime Switching,8,102.01897545550689
Risk-Aware Regime Switching,9,128.7833066090346
Risk-Aware Regime Switching,10,67.44841244749023
Risk-Aware Regime Switching,11,145.41973219451484
Risk-Aware Regime Switching,12,120.7828235551921
Risk-Aware Regime Switching,13,71.72809403318283
Risk-Aware Regime Switching,14,105.0151848179945
Risk-Aware Regime Switching,15,111.21191666792451
Risk-Aware Regime Switching,16,105.33194618199579
Risk-Aware Regime Switching,17,100.7020834243116
Risk-Aware Regime Switching,18,119.09936335341004
Risk-Aware Regime Switching,19,96.00662177563338
Risk-Aware Regime Switching,20,101.70359513712232
Risk-Aware Regime Switching,21,80.52849164747795
Risk-Aware Regime Switching,22,106.61147895850482
Risk-Aware Regime Switching,23,125.86221542937268
Risk-Aware Regime Switching,24,92.72813427421683
Risk-Aware Regime Switching,25,90.1778441677914
Risk-Aware Regime Switching,26,84.96930365816884
Risk-Aware Regime Switching,27,130.7211129688654
Risk-Aware Regime Switching,28,108.05095768258617
Risk-Aware Regime Switching,29,81.45751630916891
Risk-Aware Regime Switching,30,113.02557894318868
Risk-Aware Regime Switching,31,100.18114672498864
Risk-Aware Regime Switching,32,99.7041045321835
Risk-Aware Regime Switching,33,80.97627100739197
Risk-Aware Regime Switching,34,91.42812681655018
Risk-Aware Regime Switching,35,68.77282338040327
Risk-Aware Regime Switching,36,92.31293864093686
Risk-Aware Regime Switching,37,74.20412753807838
Risk-Aware Regime Switching,38,82.52602897884836
Risk-Aware Regime Switching,39,68.77754095356944
Risk-Aware Regime Switching,40,72.86611155486084
Risk-Aware Regime Switching,41,66.08613333465854
Risk-Aware Regime Switching,42,113.5106641678988
Risk-Aware Regime Switching,43,112.4354864384092
Risk-Aware Regime Switching,44,113.5377453466438
Risk-Aware Regime Switching,45,65.32409693811402
Risk-Aware Regime Switching,46,108.65769184909517
Risk-Aware Regime Switching,47,69.82586732805154
Risk-Aware Regime Switching,48,84.50779109723511
Risk-Aware Regime Switching,49,94.73041519089415
Risk-Aware Regime Switching,50,125.79759161299171
Risk-Aware Regime Switching,51,97.33329369708073
Risk-Aware Regime Switching,52,89.27292242165278
Risk-Aware Regime Switching,53,123.89626641579432
Risk-Aware Regime Switching,54,98.11037319754136
Risk-Aware Regime Switching,55,121.3233116443183
Risk-Aware Regime Switching,56,78.0977118241042
Risk-Aware Regime Switching,57,93.28471424008042
Risk-Aware Regime Switching,58,88.93414232437841
Risk-Aware Regime Switching,59,103.94965184873021
Risk-Aware Regime Switching,60,127.15111413720497
Risk-Aware Regime Switching,61,108.82061591714339
Risk-Aware Regime Switching,62,95.9309519915339
Risk-Aware Regime Switching,63,87.46384109834652
Risk-Aware Regime Switching,64,104.82896067495786
Risk-Aware Regime Switching,65,72.03271384505327
Risk-Aware Regime Switching,66,141.1662207902419
Risk-Aware Regime Switching,67,107.57040061605079
Risk-Aware Regime Switching,68,68.290151393449
Risk-Aware Regime Switching,69,95.47685686074837
Risk-Aware Regime Switching,70,88.31617134772515
Risk-Aware Regime Switching,71,75.65618191504907
Risk-Aware Regime Switching,72,125.95870915530101
Risk-Aware Regime Switching,73,98.20783422080812
Risk-Aware Regime Switching,74,90.9553383239091
Risk-Aware Regime Switching,75,62.00110063380877
Risk-Aware Regime Switching,76,105.88345131802998
Risk-Aware Regime Switching,77,62.29908084887663
Risk-Aware Regime Switching,78,183.16775623927398
Risk-Aware Regime Switching,79,96.07998869208475
Risk-Aware Regime Switching,80,129.0208459887916
Risk-Aware Regime Switching,81,103.84248524962842
Risk-Aware Regime Switching,82,142.45344990911812
Risk-Aware Regime Switching,83,81.57188656248418
Risk-Aware Regime Switching,84,84.61608094575756
Risk-Aware Regime Switching,85,83.92726932854563
Risk-Aware Regime Switching,86,134.01857055825877
Risk-Aware Regime Switching,87,121.25736424102982
Risk-Aware Regime Switching,88,69.74467696394198
Risk-Aware Regime Switching,89,68.99847473870739
Risk-Aware Regime Switching,90,65.88622580696529
Risk-Aware Regime Switching,91,135.6644901980728
Risk-Aware Regime Switching,92,107.73572884909508
Risk-Aware Regime Switching,93,75.16590104768532
Risk-Aware Regime Switching,94,68.91028980859879
Risk-Aware Regime Switching,95,66.15453238804756
Risk-Aware Regime Switching,96,76.78803300169241
Risk-Aware Regime Switching,97,143.31433861141585
Risk-Aware Regime Switching,98,119.05902741297008
Risk-Aware Regime Switching,99,76.48172877877107
Risk-Aware Regime Switching,100,82.60103819350687
Risk-Aware Regime Switching,101,89.87489613483969
Risk-Aware Regime Switching,102,75.17768276235732
Risk-Aware Regime Switching,103,78.9982527736242
Risk-Aware Regime Switching,104,101.60381375333165
Risk-Aware Regime Switching,105,103.1185533619944
Risk-Aware Regime Switching,106,64.24506038666362
Risk-Aware Regime Switching,107,66.75723522982969
Risk-Aware Regime Switching,108,95.53798559747486
Risk-Aware Regime Switching,109,66.75596692959434
Risk-Aware Regime Switching,110,94.84595735384408
Risk-Aware Regime Switching,111,76.91058920327394
Risk-Aware Regime Switching,112,109.42890770357482
Risk-Aware Regime Switching,113,52.61083659050008
Risk-Aware Regime Switching,114,80.1738907861726
Risk-Aware Regime Switching,115,86.37664829137111
Risk-Aware Regime Switching,116,78.98018712562828
Risk-Aware Regime Switching,117,88.4013450091532
Risk-Aware Regime Switching,118,162.35154478144165
Risk-Aware Regime Switching,119,120.84751420879701
Risk-Aware Regime Switching,120,95.35940024650536
Risk-Aware Regime Switching,121,103.43732736892291
Risk-Aware Regime Switching,122,124.04010636784324
Risk-Aware Regime Switching,123,76.59917763453818
Risk-Aware Regime Switching,124,96.52285347700233
Risk-Aware Regime Switching,125,98.39010172813774
Risk-Aware Regime Switching,126,89.63112849526104
Risk-Aware Regime Switching,127,68.19907482869586
Risk-Aware Regime Switching,128,86.53948664950924
Risk-Aware Regime Switching,129,80.25958951972014
Risk-Aware Regime Switching,130,81.59267516041882
Risk-Aware Regime Switching,131,109.61046755972252
Risk-Aware Regime Switching,132,110.68410661666664
Risk-Aware Regime Switching,133,112.27969811426364
Risk-Aware Regime Switching,134,113.22107882772808
Risk-Aware Regime Switching,135,109.74640823258697
Risk-Aware Regime Switching,136,108.69926195148676
Risk-Aware Regime Switching,137,70.34059940619404
Risk-Aware Regime Switching,138,109.2016362523988
Risk-Aware Regime Switching,139,74.94378978982606
Risk-Aware Regime Switching,140,114.87094241951607
Risk-Aware Regime Switching,141,70.5129084986947
Risk-Aware Regime Switching,142,100.7757943032549
Risk-Aware Regime Switching,143,90.52953304293665
Risk-Aware Regime Switching,144,75.48792370359887
Risk-Aware Regime Switching,145,74.71125901378888
Risk-Aware Regime Switching,146,74.18725847363234
Risk-Aware Regime Switching,147,85.91482211488679
Risk-Aware Regime Switching,148,130.90970277973503
Risk-Aware Regime Switching,149,73.09415584998001
Risk-Aware Regime Switching,150,94.37233814831416
Risk-Aware Regime Switching,151,104.31886524568779
Risk-Aware Regime Switching,152,83.00925774489131
Risk-Aware Regime Switching,153,76.02694022886442
Risk-Aware Regime Switching,154,112.03618960827735
Risk-Aware Regime Switching,155,77.57103854422063
Risk-Aware Regime Switching,156,83.6780755342524
Risk-Aware Regime Switching,157,85.37044496308724
Risk-Aware Regime Switching,158,86.20746317837283
Risk-Aware Regime Switching,159,99.44043276264904
Risk-Aware Regime Switching,160,101.23432738664111
Risk-Aware Regime Switching,161,148.96092720674358
Risk-Aware Regime Switching,162,122.5865004325931
Risk-Aware Regime Switching,163,96.6353269834822
Risk-Aware Regime Switching,164,155.69794925970328
Risk-Aware Regime Switching,165,77.92878395832192
Risk-Aware Regime Switching,166,82.38579665356471
