Transaction Cost,Transaction Cost (%),Strategy,Net Total Return,Net Annualized Return,Net Volatility,Net Sharpe,Net Maximum Drawdown
0.0,0.0,Max Sharpe,0.02217100115638848,0.04411780263063414,0.2434044729881923,-0.08579216771574642,-0.18896814773072224
0.0,0.0,Min Variance,-0.10901345349301084,-0.20327431264369755,0.16897209980303218,-1.5876840789480644,-0.17127516527496744
0.0,0.0,Risk Parity,-0.10236177454311102,-0.19152190012983816,0.17012614946308663,-1.5078334573457055,-0.1539275727072733
0.0005,0.05,Max Sharpe,0.02166649289677247,0.04310346869244319,0.24335351426447957,-0.08997828272066535,-0.18896814773072235
0.0005,0.05,Min Variance,-0.10945805294897881,-0.20405682677345005,0.16895678981300752,-1.592459391961862,-0.17127516527496778
0.0005,0.05,Risk Parity,-0.1028089198970994,-0.19231458654201383,0.1701011797018699,-1.5127148852994416,-0.15392757270727342
0.001,0.1,Max Sharpe,0.021161984637154907,0.04208961987286153,0.243304567803576,-0.09416337857509696,-0.188968147730722
0.001,0.1,Min Variance,-0.1099026524049449,-0.20483896253603373,0.1689443917713392,-1.5972058007184524,-0.171275165274967
0.001,0.1,Risk Parity,-0.10325606525108688,-0.19310689033030248,0.17007910017341688,-1.5175697076661994,-0.15392757270727353
0.0015,0.15,Max Sharpe,0.020657476377538453,0.04107625617938271,0.2432576348201584,-0.09834735028277422,-0.18896814773072212
0.0015,0.15,Min Variance,-0.11034725186091365,-0.2056207199255521,0.1689349063191461,-1.601923047296718,-0.1712751652749681
0.0015,0.15,Risk Parity,-0.10370321060507437,-0.19389881148874488,0.17005991200347748,-1.522397656441518,-0.15392757270727342
0.002,0.2,Max Sharpe,0.020152968117922665,0.04006337761949741,0.2432127164798547,-0.10253009275758035,-0.1889681477307218
0.002,0.2,Min Variance,-0.11079185131688096,-0.2064020989360903,0.16892833394706053,-1.6066108780848063,-0.1712751652749679
0.002,0.2,Risk Parity,-0.10415035595906152,-0.1946903500113768,0.1700436161708573,-1.5271984674240506,-0.15392757270727309
0.0,0.0,Risk-Aware Regime Switching,-0.020082281149267134,-0.0391523197955167,0.23476794147458063,-0.4436394472828554,-0.21074003338028735
0.0005,0.05,Risk-Aware Regime Switching,-0.025486828730283406,-0.04955758188889736,0.23500521986538983,-0.48746824412885614,-0.21154555026302535
0.001,0.1,Risk-Aware Regime Switching,-0.030864265735591312,-0.059855313978894986,0.23526346061486175,-0.5307042311312826,-0.21235065630782357
0.0015,0.15,Risk-Aware Regime Switching,-0.03621471461642134,-0.07004657401644776,0.2355425947757927,-0.5733424739801111,-0.21315535151468257
0.002,0.2,Risk-Aware Regime Switching,-0.041538297332149754,-0.08013241006843974,0.23584254816228187,-0.615378400544481,-0.2139596358836019
