Window,Train End Date,Test Start Date,Test End Date,Training Observations,Testing Observations,Strategy,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,VaR (95%)
1,2025-08-13,2025-08-14,2025-11-12,400,60,Maximum Sharpe,-0.021665041436113697,-0.08788876805772072,0.12303193485652,-1.2426754747539313,-0.06383287127077575,-0.011309915865864363
1,2025-08-13,2025-08-14,2025-11-12,400,60,Minimum Variance,0.004180110015052252,0.017674243166399872,0.09507887131256833,-0.49775261506858265,-0.04563076147617495,-0.010374026361042636
1,2025-08-13,2025-08-14,2025-11-12,400,60,Risk Parity,0.042007838206012504,0.18866134696253933,0.08660101140998978,1.4279434494950307,-0.03752718756292739,-0.008150842680973621
1,2025-08-13,2025-08-14,2025-11-12,400,60,Risk-Aware Regime Switching,0.02307998624278218,0.10057659715372669,0.11197346515709915,0.3177234633563639,-0.03661713827874613,-0.01090144400579134
2,2025-11-12,2025-11-13,2026-02-06,460,60,Maximum Sharpe,0.07991978911186459,0.3811609725663627,0.14104320503458484,2.241589536261869,-0.02912241890414702,-0.0107511612363114
2,2025-11-12,2025-11-13,2026-02-06,460,60,Minimum Variance,-0.07277213033969399,-0.2719131249507247,0.10807574087817365,-3.1173797395523177,-0.10182933232622926,-0.0088550551658475
2,2025-11-12,2025-11-13,2026-02-06,460,60,Risk Parity,-0.03336105829586955,-0.1328184977429605,0.09786704707908998,-2.0212983189642584,-0.06872878211572142,-0.010136046464405378
2,2025-11-12,2025-11-13,2026-02-06,460,60,Risk-Aware Regime Switching,0.04026944069111882,0.1803546925080146,0.13851989682016336,0.8327662318271613,-0.02912241890414702,-0.011657967903470592
3,2026-02-06,2026-02-09,2026-05-08,520,60,Maximum Sharpe,-0.061867737137641154,-0.23526828489669838,0.2847611051588468,-1.0544568041664304,-0.18021964284704162,-0.03250255969869901
3,2026-02-06,2026-02-09,2026-05-08,520,60,Minimum Variance,-0.11672518480808036,-0.40625145302197485,0.19003890199169726,-2.4797630805221327,-0.15957021856191145,-0.019195619726149107
3,2026-02-06,2026-02-09,2026-05-08,520,60,Risk Parity,-0.10228860294075781,-0.36441402804287404,0.194747714668094,-2.2049759545302945,-0.15125511389829382,-0.02036487893006797
3,2026-02-06,2026-02-09,2026-05-08,520,60,Risk-Aware Regime Switching,-0.14020337592791576,-0.4697726942587547,0.265883628026126,-2.011303585063942,-0.19428891617142097,-0.03250255969869901
4,2026-05-08,2026-05-11,2026-07-28,580,57,Maximum Sharpe,0.012595259255706148,0.056896244819035324,0.19607246441090326,-0.04133040916944808,-0.04456446902834499,-0.020497906251828662
4,2026-05-08,2026-05-11,2026-07-28,580,57,Minimum Variance,-0.0025234178005842933,-0.011108106727739875,0.14725413208863644,-0.5168486999191862,-0.049703488089495096,-0.01576930871736633
4,2026-05-08,2026-05-11,2026-07-28,580,57,Risk Parity,-0.010746245605917415,-0.04664395115950726,0.14680841537942024,-0.7604737839514725,-0.038954505509241955,-0.016007304915305925
4,2026-05-08,2026-05-11,2026-07-28,580,57,Risk-Aware Regime Switching,0.007896089398705453,0.0353835374439726,0.19152318805760155,-0.1546364325719145,-0.05156051966944308,-0.020797036461228734
